internal_order_number,online_order_number,store_name,full_channel_user_id,shipping_date,payment_date,payable_amount,paid_amount,status,consignee,spu,order_time,province,city,platform,sub_order_number,online_sub_order_number,original_online_order_number,sku,quantity,unit_price,product_name,color_and_spec,product_amount,original_price,is_gift,sub_order_status,refund_status,registered_quantity,actual_refund_quantity
CF0E479E-E0C6-4194,OL09C8D967-876D-4ADC,安娜旗舰店,9ce31dd8-3a35-4c63-8,,2025-07-03 16:43:11,424.64,416.49,已签收,赵桂荣,SPU774b8d,2025-07-03 09:43:11,澳门特别行政区,燕市,天猫,SUB8D06BD29-E63E-43,ONLINESUB51896897-02AB-4A,ORIGB444F843-2AF7-4B,SKUd28cc4,1,489.77,Re-engineered non-volatile utilization,Yellow,489.77,577.22,否,正常,成功退款,0,1
86F65029-1153-404B,OLC436FBC6-C875-407D,安娜分销店,70004ea5-6211-4dc9-b,2025-06-12 14:44:51,2025-06-10 15:44:51,1243.34,1201.37,已发货,段英,SPUce7ae4,2025-06-09 22:44:51,江苏省,深圳县,小红书,SUBD22EEEBC-0F55-4C,ONLINESUBF67ABB3D-DBB9-41,ORIGA37ECAAE-8C94-4A,SKUed389c,2,651.07,Mandatory well-modulated strategy,Teal,1302.14,776.49,是,正常,未申请退款,0,0
5D2BC630-95AF-4D4B,OLC560DC45-B0DC-4C93,安娜奥莱店,ba1303ae-745c-4dde-8,,2025-10-04 20:22:31,874.14,851.58,已签收,曾超,SPU50d9e2,2025-10-04 08:22:31,甘肃省,齐齐哈尔市,抖音,SUB0464BF59-E3B5-43,ONLINESUB92637C7B-7251-45,ORIG82EAC022-AAD3-4E,SKU20ac09,3,356.29,Multi-tiered non-volatile approach,Khaki,1068.87,516.42,是,正常,成功退款,0,3
33B9762B-17EB-455C,OL5E292B42-E23A-45EE,安娜直播店,e1764ae0-ed68-4006-8,2025-05-14 07:34:50,2025-05-13 08:34:50,872.75,860.25,已发货,陈明,SPUc34157,2025-05-12 08:34:50,西藏自治区,合山市,小红书,SUBCE80F9BB-791A-47,ONLINESUBF474A9CF-425A-41,ORIG4640D45B-7F87-4C,SKU51a0d8,3,302.43,Expanded real-time Internet solution,Lime,907.29,437.52,否,正常,退款关闭,0,0
53A62027-E944-4308,OL9C32337B-0A50-4238,安娜直播店,e3bf6883-387d-4373-a,2025-09-13 16:46:42,2025-09-12 19:46:42,460.03,448.87,已完成,温海燕,SPU7f1e86,2025-09-12 11:46:42,北京市,桂香县,淘宝,SUBD5888177-9AAE-48,ONLINESUB59EC5CCD-73CB-45,ORIG78F17AEA-4D21-45,SKU574486,2,231.16,Mandatory exuding methodology,Plum,462.32,334.19,否,正常,未申请退款,0,0
02D65E19-5A35-4ECE,OLECCC274C-757D-4C3D,安娜直播店,3856dda0-27b3-4dcf-9,2025-10-14 21:40:34,2025-10-12 10:40:34,1123.67,1114.34,已签收,杨东,SPUba9dbc,2025-10-11 15:40:34,宁夏回族自治区,建平县,京东,SUB07D317F2-32F2-4F,ONLINESUB78138FE1-4909-42,ORIG5B19CADD-E9A0-42,SKUcd034c,3,419.86,Diverse web-enabled software,SeaShell,1259.58,459.05,否,正常,退款关闭,0,0
77853F4A-AF89-4732,OL32C9B7BD-7CD2-48C8,安娜旗舰店,ee001225-0e96-4b87-b,2025-05-27 18:26:41,2025-05-24 20:26:41,289.06,288.06,已签收,杨婷婷,SPU824328,2025-05-24 15:26:41,香港特别行政区,郑州市,得物,SUBD21246C8-4F68-44,ONLINESUB8FDD8841-A59D-4E,ORIGB3E3CCC1-59E8-45,SKU6c4ad0,1,344.37,Innovative zero tolerance success,DarkTurquoise,344.37,429.96,否,正常,退款关闭,0,0
FF569D9E-889E-4FD4,OL2BC9A7E4-2028-4DAE,安娜直播店,8aec8f91-0fcb-4d80-b,,2025-09-06 06:37:31,727.69,705.52,已完成,陈桂英,SPU546abb,2025-09-06 06:37:31,江西省,香港市,得物,SUBAC266C11-0F33-4C,ONLINESUB901AA85B-A9A2-4D,ORIG87391684-9A4E-49,SKU1da280,1,803.14,Advanced methodical access,BlueViolet,803.14,882.5,是,正常,成功退款,0,1
252DB0C4-C6ED-4E50,OL7D501DA9-6AF6-49D0,安娜奥莱店,be686aa7-99aa-4326-9,2025-06-19 00:30:20,2025-06-16 06:30:20,822.23,820.62,已完成,李龙,SPUd83e77,2025-06-15 23:30:20,辽宁省,丽市,得物,SUBD7FF3E5F-32D8-45,ONLINESUBFC4D8E53-0216-45,ORIG9C394127-6D83-43,SKU90dd40,3,283.03,Configurable needs-based product,LightSalmon,849.09,334.28,是,正常,未申请退款,0,0
6C2AFA86-36AA-44B5,OLE306657D-9DCC-407A,安娜分销店,9fed3c83-ea7d-4115-a,,2025-07-31 20:18:34,1602.18,1560.88,已完成,甘建国,SPUc13def,2025-07-31 08:18:34,贵州省,福州市,小红书,SUB958C309C-986B-49,ONLINESUBA58D30CE-9D1D-46,ORIGB9A6C640-1A63-46,SKU1e16e6,2,905.02,Universal real-time help-desk,Silver,1810.04,1298.3,否,正常,成功退款,0,2
9F4F6D2A-ECDC-4AC7,OL325CB105-890D-4CE4,安娜直播店,cdd921bb-b67d-4b48-b,2025-05-30 15:42:05,2025-05-30 08:42:05,1065.22,1051.88,已完成,蒋建平,SPU4981a4,2025-05-29 10:42:05,上海市,宇县,抖音,SUB032BFA19-64C7-4F,ONLINESUBB69A4780-76AF-4D,ORIG1134A657-EAF4-42,SKU25414d,2,594.04,Synergistic homogeneous approach,Yellow,1188.08,636.31,是,正常,未申请退款,0,0
C945BA59-BD65-46AB,OLA8C643E8-E003-4F08,安娜奥莱店,b820ec10-0fda-4820-a,2025-08-26 18:25:24,2025-08-25 06:25:24,329.46,323.23,已发货,雷晨,SPU275e1b,2025-08-24 12:25:24,西藏自治区,太原市,淘宝,SUB2C9BC8D4-0AD4-4D,ONLINESUBE26BC76C-19FC-4D,ORIG5094B3C3-181D-49,SKUf6a9bd,1,331.27,Horizontal content-based instruction set,DarkGoldenRod,331.27,359.13,否,正常,退款关闭,0,0
F6E5FB39-A4FC-4027,OLEE217077-C1C6-4579,安娜旗舰店,c28dc340-2d8b-4cde-b,2025-06-10 19:04:07,2025-06-09 22:04:07,2321.62,2256.69,已签收,杨兰英,SPUc67dfe,2025-06-08 22:04:07,北京市,成都市,得物,SUBD9ACDDD0-EAE1-42,ONLINESUB2F7B4CFC-841E-49,ORIGDED2CF4F-2078-48,SKUf499ee,3,903.03,Advanced full-range implementation,Coral,2709.09,1116.89,否,正常,未申请退款,0,0
C633ADDE-B90C-44B2,OL7327582C-2247-4C3C,安娜奥莱店,cfb6cdb5-d13b-4ef3-8,2025-08-05 21:56:18,2025-08-05 07:56:18,751.48,747.49,已发货,张雪,SPUd1838d,2025-08-05 05:56:18,澳门特别行政区,波县,小红书,SUBAF6E9845-4F8F-42,ONLINESUB53FC31BC-EFD3-41,ORIG2594A17E-B822-4D,SKUda45b0,1,767.25,Multi-layered explicit initiative,DarkTurquoise,767.25,1013.6,否,正常,未申请退款,0,0
895F6F16-45A0-488C,OL9CA29B01-5F13-4572,安娜分销店,351d882f-4372-4496-8,2025-09-12 16:11:12,2025-09-11 06:11:12,1084.94,1047.01,已签收,何欣,SPUb5e899,2025-09-10 12:11:12,甘肃省,嘉禾县,京东,SUBE14ABF71-15D4-4B,ONLINESUB34BA6C2F-E1E3-4F,ORIG02345E05-E9BB-43,SKU9e5bba,2,651.92,Versatile motivating monitoring,Violet,1303.84,1078.38,否,正常,申请退款,2,0
273B1BDD-9E3A-4B43,OL1DED2F8E-5764-4C20,安娜分销店,20667910-2dbc-42e3-9,2025-05-10 06:38:34,2025-05-07 16:38:34,2899.83,2885.48,已发货,马琴,SPU03883e,2025-05-07 01:38:34,甘肃省,丽娟市,拼多多,SUB8BAE40A3-6926-43,ONLINESUB66AE4B57-5A61-48,ORIG639FDAA1-092C-46,SKU20b06d,3,1019.12,Self-enabling impactful implementation,Olive,3057.36,1299.99,否,正常,未申请退款,0,0
5A8AFE05-5B56-43B9,OL968400BB-68FF-45D8,安娜分销店,a95e7c44-ea29-4ab9-8,2025-09-04 01:44:10,2025-09-01 04:44:10,1846.22,1816.07,已发货,黄丽华,SPU164c14,2025-08-31 07:44:10,香港特别行政区,淑珍市,抖音,SUBEB88E492-81B7-4C,ONLINESUB6596F59D-9915-44,ORIG89606A38-4D96-43,SKUb1cc3e,3,694.5,Decentralized executive neural-net,RosyBrown,2083.5,995.98,否,正常,申请退款,3,0
054E383E-405D-4F45,OLFF4394D3-BD4B-41BD,安娜分销店,0a2b316e-9318-45a2-a,,2025-06-05 15:47:55,678.37,664.82,已签收,饶春梅,SPU9ef152,2025-06-05 03:47:55,四川省,福州县,得物,SUB381B3C04-48A5-44,ONLINESUB18079BC0-E26A-4E,ORIGA3ADDFFB-95E7-43,SKU6d474b,2,397.21,Networked contextually-based website,CadetBlue,794.42,447.1,否,正常,成功退款,0,2
8E9111FA-5B2C-4BF2,OLBAB53ECD-3FBE-489A,安娜旗舰店,d6668841-324b-402a-8,2025-07-21 19:07:02,2025-07-20 17:07:02,583.16,562.17,已发货,金建平,SPU3968e6,2025-07-20 12:07:02,河北省,燕县,拼多多,SUB11F2511F-413B-4C,ONLINESUB238D0032-9E23-4D,ORIG9D7F7507-10AD-4A,SKU9b8118,1,598.17,Enhanced even-keeled orchestration,Coral,598.17,699.69,是,正常,未申请退款,0,0
C3D0A65A-8717-43C0,OL363F38F2-10A0-4210,安娜奥莱店,4dcc930b-e5a9-482c-a,2025-06-10 14:55:42,2025-06-08 14:55:42,575.63,548.57,已签收,张晨,SPU9c356d,2025-06-07 15:55:42,安徽省,广州县,淘宝,SUBD823805B-6366-47,ONLINESUB5602C245-9557-44,ORIG96454709-46B9-4F,SKU062037,2,358.79,Visionary non-volatile parallelism,Brown,717.58,515.52,否,正常,退款关闭,0,0
5099EC7B-6866-41A1,OL65CC9FA5-B218-4172,安娜旗舰店,ba623513-c644-4395-b,,2025-09-26 06:19:35,1982.36,1956.36,已发货,李健,SPU1c12a0,2025-09-25 21:19:35,江西省,合肥市,抖音,SUBAF95F7F9-9A55-44,ONLINESUB8D0210BA-0EAF-43,ORIG29BAFE70-3FEA-4C,SKU28b687,3,700.89,Future-proofed motivating matrices,SandyBrown,2102.67,976.74,否,正常,成功退款,0,3
BC8CD823-53D4-4F3B,OL4F829ACF-CE01-4216,安娜旗舰店,410cae4c-9122-4a88-9,,2025-06-06 22:55:13,813.78,808.89,已签收,梁兰英,SPU0cce85,2025-06-06 08:55:13,青海省,军县,拼多多,SUB144EE508-0B7A-48,ONLINESUB7D9E824B-1E0A-4E,ORIGFC369448-AD66-44,SKU5af35d,1,896.96,User-centric exuding Graphic Interface,Maroon,896.96,1015.67,否,正常,成功退款,0,1
ED40FF51-16ED-4A09,OL002465CE-CD51-47F0,安娜奥莱店,09d42990-3e0a-47ad-8,2025-09-09 10:07:10,2025-09-06 15:07:10,1350.62,1314.68,已签收,高秀珍,SPUe98e54,2025-09-06 05:07:10,香港特别行政区,健县,京东,SUB6BBB8C12-BDC4-44,ONLINESUB3D17FFC4-977B-43,ORIGB9B3EB2F-50B5-4E,SKU521576,2,705.68,Ameliorated exuding synergy,SkyBlue,1411.36,949.72,是,正常,退款关闭,0,0
6FD9566E-51F5-4213,OLCA10AAD9-75C4-40BF,安娜奥莱店,2ef8c015-cb84-406e-b,,2025-10-09 06:08:07,2661.31,2657.91,已签收,张建军,SPU152700,2025-10-08 14:08:07,江苏省,丽华市,天猫,SUB091B79BE-8DCD-47,ONLINESUB7F7C1CB3-B4F5-4C,ORIG563584DC-C695-43,SKUdb1046,3,900.93,Multi-channeled asymmetric hierarchy,LightGoldenRodYellow,2702.79,1058.43,是,正常,成功退款,0,3
A95D34FD-E16D-4952,OL42250D3A-F9AC-4859,安娜奥莱店,5fcb1a49-ddfa-4ede-8,2025-06-27 08:29:36,2025-06-25 16:29:36,1765.87,1711.68,已发货,卢岩,SPU49da73,2025-06-24 23:29:36,澳门特别行政区,浩市,得物,SUB20DB5A17-70B5-4F,ONLINESUB64136FA7-F46E-48,ORIGFB346F09-D96A-47,SKUe3526f,3,593.75,Realigned exuding budgetary management,Olive,1781.25,985.16,是,正常,未申请退款,0,0
FC44DC01-E8A3-41F5,OL991422A9-0EB7-457C,安娜旗舰店,87ce4639-b333-4128-9,2025-10-17 23:09:41,2025-10-17 13:09:41,1117.85,1098.31,已完成,李玉,SPUd0888b,2025-10-16 18:09:41,吉林省,西安市,天猫,SUBC08CBB92-71F2-42,ONLINESUBF39D4590-A209-4C,ORIG7206C9EC-4FAB-4E,SKUcd4fa2,2,631.96,Cloned asynchronous neural-net,Violet,1263.92,832.61,否,正常,未申请退款,0,0
5D6CBFA3-BD5A-425F,OLF4F2AD99-4615-4349,安娜奥莱店,11402d33-ad78-4fa7-b,2025-06-21 16:28:15,2025-06-18 18:28:15,1349.83,1285.23,已发货,田浩,SPU8e9630,2025-06-17 19:28:15,黑龙江省,飞市,小红书,SUB4A3119BC-96BE-43,ONLINESUBB378E810-A94F-42,ORIGFCA811C2-5E35-45,SKU0a1deb,3,528.86,Visionary mobile throughput,DarkRed,1586.58,638.89,是,正常,退款关闭,0,0
96A317D0-70E5-4CEF,OL2A034053-C56D-4DC5,安娜直播店,a7298533-3126-420c-a,2025-08-26 18:20:17,2025-08-24 11:20:17,106.0,101.38,已签收,许健,SPU0e69d9,2025-08-23 17:20:17,江苏省,济南市,小红书,SUB77956ADB-3CFE-4E,ONLINESUB73957F8C-976D-44,ORIG73DDE74F-88D2-4A,SKUb51e4e,1,113.25,Managed tertiary secured line,Red,113.25,165.41,否,正常,未申请退款,0,0
A2E83E27-DE22-4D00,OL8D562C20-FD88-4148,安娜奥莱店,4a8ac365-cbba-4916-9,2025-08-19 21:01:42,2025-08-18 17:01:42,477.28,468.17,已完成,萧冬梅,SPU3968e6,2025-08-18 10:01:42,新疆维吾尔自治区,红梅市,天猫,SUB628667F3-97C6-44,ONLINESUBFC8F46DB-670D-4F,ORIGFA20F803-F045-42,SKU9b8118,1,547.29,Enhanced even-keeled orchestration,Coral,547.29,742.43,是,正常,申请退款,1,0
CDFF7C3C-C5F6-4C6D,OL71D94B15-8D87-461B,安娜直播店,9370927a-8b91-43cd-8,2025-09-24 03:16:20,2025-09-22 14:16:20,114.14,111.48,已完成,赵桂荣,SPU0e69d9,2025-09-21 20:16:20,宁夏回族自治区,淮安市,淘宝,SUB0FCDFD76-54D4-4F,ONLINESUBEADC4276-FEBD-42,ORIG820EBC8F-9C40-4B,SKUb51e4e,1,115.54,Managed tertiary secured line,Red,115.54,137.47,否,正常,退款关闭,0,0
158C5F16-8526-4766,OLE74C65D1-F542-43DF,安娜旗舰店,79b774c5-c471-4b18-b,,2025-07-16 09:28:43,1479.71,1439.27,已完成,王云,SPU149e72,2025-07-15 10:28:43,湖南省,邯郸县,得物,SUB11123E90-10E2-4D,ONLINESUB64177F15-607A-4A,ORIGC14A4B80-B004-42,SKUaac7f1,2,783.12,Upgradable even-keeled capability,DarkBlue,1566.24,1156.18,否,正常,成功退款,0,2
33DA1937-FC2D-45E5,OL95F3D975-389C-4AE0,安娜分销店,2c5c1736-5654-4050-9,2025-06-23 23:28:28,2025-06-23 07:28:28,448.59,429.88,已发货,薛超,SPUaf9f23,2025-06-23 01:28:28,北京市,沈阳县,京东,SUB08483398-514E-4A,ONLINESUB6B3CA9D9-16B1-49,ORIG96C5401B-DBC1-46,SKUf60bf7,2,241.14,Polarized foreground synergy,LightGreen,482.28,352.8,是,正常,申请退款,2,0
86D7513B-EB22-44E2,OL64A74A77-8E8D-4AF7,安娜奥莱店,d114c49d-84d1-420a-a,2025-06-16 01:23:54,2025-06-14 02:23:54,168.74,166.27,已完成,赵秀珍,SPU5e183b,2025-06-13 19:23:54,海南省,拉萨县,拼多多,SUBCBED566F-B464-47,ONLINESUB3F4F8335-C3C5-45,ORIG0F35F47A-B0AB-44,SKU8d1ecc,1,171.28,Enterprise-wide zero tolerance Graphical User Interface,Pink,171.28,209.7,是,正常,申请退款,1,0
1BEDCA0A-B578-45AC,OLD31E2E64-1B70-4FFA,安娜旗舰店,5e624852-5a78-4ff3-8,2025-10-25 00:37:52,2025-10-23 02:37:52,1357.35,1307.94,已完成,周华,SPU845c7c,2025-10-22 12:37:52,广东省,斌市,小红书,SUBBEE2DB52-DDF0-4C,ONLINESUBB78FF526-8F5B-40,ORIG513171D6-9AD0-47,SKUdeee3a,3,452.87,Grass-roots transitional frame,Ivory,1358.61,668.74,是,正常,申请退款,3,0
90852205-BB43-414C,OL8410A82E-0378-47A9,安娜直播店,609ffb2d-ee5f-409d-b,,2025-07-30 21:31:11,1206.57,1172.17,已发货,耿萍,SPUab9761,2025-07-30 09:31:11,北京市,畅县,京东,SUBF444E290-809C-4E,ONLINESUB694637C5-FB5B-4E,ORIGB0CC49E7-42D3-42,SKU6fb074,3,449.41,De-engineered contextually-based infrastructure,Lavender,1348.23,514.1,是,正常,成功退款,0,3
AD699831-512D-4B98,OL395988A8-830E-4E23,安娜奥莱店,b24e0286-8eb9-47bb-9,,2025-07-18 00:24:17,947.46,937.63,已签收,方兰英,SPU275e1b,2025-07-17 03:24:17,澳门特别行政区,淑珍县,抖音,SUB6FB35389-EFD8-43,ONLINESUBA74A5959-51B7-4E,ORIG37C8DABA-9FA0-4C,SKUf6a9bd,2,501.1,Horizontal content-based instruction set,DarkGoldenRod,1002.2,530.71,否,正常,成功退款,0,2
8A91E12E-CDB9-4843,OL79AEE586-D7FD-4D1E,安娜直播店,8de874c1-8425-4d1e-8,2025-09-22 23:38:19,2025-09-20 10:38:19,1125.8,1085.24,已签收,王雷,SPU6019a8,2025-09-19 21:38:19,上海市,宜都市,抖音,SUB7AC736FE-92B7-4C,ONLINESUB96651F9E-7A36-47,ORIGBC610ACA-182D-46,SKUfb9dba,2,606.17,Monitored context-sensitive alliance,FloralWhite,1212.34,650.08,否,正常,申请退款,2,0
ED29B9D7-7E0D-465F,OLFA7DE330-899A-4942,安娜旗舰店,310b8e50-35f5-4fa9-8,2025-06-29 19:51:32,2025-06-27 05:51:32,753.46,728.51,已完成,林雷,SPUa275fd,2025-06-26 20:51:32,台湾省,雪梅市,京东,SUBCC6D7253-3FAD-4D,ONLINESUB72BD6495-8741-4E,ORIGEC34510B-CFE4-4D,SKU8aff3a,1,898.38,Customer-focused fault-tolerant frame,LightGoldenRodYellow,898.38,1450.8,是,正常,未申请退款,0,0
77DDA19D-172F-4B22,OLB5A14883-AC54-48F2,安娜旗舰店,89e83f44-7f28-4a29-b,,2025-06-21 03:37:01,3541.17,3495.11,已发货,王晶,SPU0cce85,2025-06-20 05:37:01,西藏自治区,哈尔滨县,小红书,SUB8E3272D1-B3B2-45,ONLINESUB599CA063-B2B0-49,ORIGC3D42CF3-A2B0-43,SKU5af35d,3,1209.39,User-centric exuding Graphic Interface,Maroon,3628.17,1304.45,是,正常,成功退款,0,3
B45B8C14-346C-4116,OLAD2D891D-9742-436F,安娜分销店,5c346846-e4f4-46bf-8,2025-10-18 15:25:57,2025-10-15 21:25:57,471.85,468.71,已发货,张桂芝,SPUcbe172,2025-10-15 07:25:57,青海省,颖市,京东,SUBF96AED9F-ABE1-46,ONLINESUB00FC496C-43A1-46,ORIG20EAFE87-2C91-42,SKUcbc4d9,3,158.85,Progressive zero-defect frame,LightYellow,476.55,182.97,是,正常,退款关闭,0,0
D3155CD7-5587-4FA1,OLE3558F68-9BF1-4CCE,安娜分销店,45fd429a-c377-4815-b,,2025-10-23 17:30:47,228.73,221.11,已完成,陈瑞,SPUcbe172,2025-10-23 05:30:47,四川省,楠县,小红书,SUB3A780B27-F901-4D,ONLINESUB96D84389-2577-4A,ORIG1E62C7B2-546E-4E,SKUcbc4d9,1,257.41,Progressive zero-defect frame,LightYellow,257.41,295.63,是,正常,成功退款,0,1
24ACA24D-673A-4212,OL0315BB94-5530-4799,安娜奥莱店,4030923c-7982-4e96-9,,2025-07-17 12:17:06,2087.96,1983.59,已完成,冯飞,SPUa33443,2025-07-17 06:17:06,江西省,梧州市,淘宝,SUB253F039D-7C81-44,ONLINESUB5048FF7E-49B2-40,ORIGEC20332F-A000-4E,SKUd04487,3,853.65,Balanced bottom-line portal,OliveDrab,2560.95,1138.27,是,正常,成功退款,0,3
C75EBDB6-C054-4489,OL522DCEF6-2526-4FC4,安娜奥莱店,3a3c5c05-af61-40fe-a,2025-05-09 14:42:46,2025-05-08 04:42:46,1808.97,1788.04,已发货,邱云,SPU0cce85,2025-05-07 08:42:46,辽宁省,秀兰市,拼多多,SUB32AE3DD2-4438-46,ONLINESUBC76C5C08-7928-49,ORIG05B3074D-2666-44,SKU5af35d,3,747.25,User-centric exuding Graphic Interface,Maroon,2241.75,1121.56,是,正常,未申请退款,0,0
09277B8D-61FB-4D27,OL140D2315-1F92-41EC,安娜奥莱店,50360fb3-8a79-4a23-9,,2025-05-13 23:21:38,871.87,868.05,已发货,马涛,SPU8e7d3f,2025-05-13 01:21:38,湖北省,成市,小红书,SUBC4D7E969-9239-46,ONLINESUB2924E296-F616-46,ORIGAAD55982-1390-4F,SKU55c8fa,2,463.47,Up-sized analyzing task-force,Crimson,926.94,593.66,是,正常,成功退款,0,2
307A5C1A-61B9-4910,OL914E264A-CF0D-46CF,安娜奥莱店,625e9515-8c7d-4cf1-8,,2025-08-28 14:11:40,2741.98,2618.37,已签收,黄欢,SPUb378b8,2025-08-28 10:11:40,山东省,通辽市,天猫,SUB1126AF76-AB02-4F,ONLINESUBAE9E56C4-A699-4C,ORIG15A84464-2213-4B,SKUa2bc89,3,1048.59,User-friendly discrete workforce,LightGreen,3145.77,1585.73,否,正常,成功退款,0,3
1707320B-9C62-48BA,OL4DFF99AE-9876-4D54,安娜旗舰店,371bcf77-eacc-4ea1-b,2025-06-10 09:28:34,2025-06-09 06:28:34,274.15,267.82,已发货,李华,SPU25e097,2025-06-08 13:28:34,河南省,六盘水县,拼多多,SUBB570CD3F-4AA6-4A,ONLINESUBE5B21F2A-F54A-40,ORIG5991E154-3694-4B,SKU8dce1c,1,296.63,Intuitive bottom-line hierarchy,LightPink,296.63,333.27,否,正常,申请退款,1,0
756DDC8A-401A-45EB,OL09476241-6496-4A56,安娜直播店,a7d3ec06-a3be-4933-a,,2025-06-16 17:44:40,514.32,494.26,已发货,张涛,SPU37a7fc,2025-06-16 07:44:40,西藏自治区,北镇市,天猫,SUB6D412F12-B984-48,ONLINESUB126405F5-6B76-4E,ORIGC680B875-F9D9-4E,SKU0d32f0,2,297.09,Versatile context-sensitive hardware,SandyBrown,594.18,469.45,否,正常,成功退款,0,2
